labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
favourite;438;jul.16;13.607;2197;--;--;3939
granddaughter;439;jul.16;16.946;--;--;3763;--
heroes;440;jul.16;15.696;2759;--;--;2486
ideas;441;jul.16;12.835;1003;815;1482;3540
liked;442;jul.16;0.9116;1287;3339;4273;2410
oceans;443;jul.16;16.208;--;--;--;3577
pizza;444;jul.16;13.303;500;--;--;4655
skies;445;jul.16;13.456;--;--;--;953
sleep;446;jul.16;17.066;109;1593;3382;354
spring;447;jul.16;14.337;625;1279;920;1356
sunset;448;jul.16;21.127;2597;--;--;2330
welcome;449;jul.16;13.149;653;3503;2507;961
1st;450;jul.14;17.025;--;3809;--;--
adoring;451;jul.14;16.904;--;--;2424;--
brighter;452;jul.14;13.250;--;--;--;2428
children's;453;jul.14;15.120;--;3315;--;--
cure;454;jul.14;15.120;2823;4323;--;1957
fireworks;455;jul.14;14.848;3589;--;--;--
home;456;jul.14;18.296;60;255;108;135
honored;457;jul.14;12.779;--;--;3501;--
journey;458;jul.14;15.120;2644;2179;3957;1946
lovin;459;jul.14;19.693;4096;--;--;2199
opportunity;460;jul.14;17.144;1975;1176;1397;4127
paid;461;jul.14;17.144;1286;894;804;991
parks;462;jul.14;15.651;--;--;2515;--
playing;463;jul.14;14.709;311;2312;815;730
shine;464;jul.14;17.144;2921;--;--;456
strawberry;465;jul.14;14.144;4584;--;--;--
summertime;466;jul.14;22.224;--;--;--;2650
wealthy;467;jul.14;17.498;--;--;4764;--
appreciated;468;07.dec;15.070;4995;--;2738;--
artistic;469;07.dec;12.395;--;4079;2415;--
birth;470;07.dec;16.117;2916;1398;2885;2039
children;471;07.dec;13.498;1035;203;173;614
fruit;472;07.dec;15.205;2529;2367;4456;3087
inspire;473;07.dec;14.797;3787;--;--;--
juice;474;07.dec;10.812;2185;--;--;2429
laptop;475;07.dec;13.498;1075;--;--;--
partners;476;07.dec;14.377;--;4156;1660;--
son;477;07.dec;18.142;624;497;201;450
stronger;478;07.dec;10.812;4576;3410;3673;1171
superman;479;07.dec;17.219;--;--;--;3794
tree;480;07.dec;13.192;702;1246;2933;824
valuable;481;07.dec;11.183;--;2015;3652;--
woman's;482;07.dec;13.498;--;4352;--;--
women;483;07.dec;14.658;651;229;376;881
glowing;484;07.okt;14.324;--;--;--;3796
admiration;485;07.okt;14.604;--;4990;--;--
carnival;486;07.okt;17.642;--;--;--;4356
computers;487;07.okt;12.817;3587;--;1956;--
confident;488;07.okt;11.824;3827;--;3399;--
cookie;489;07.okt;12.976;2560;--;--;3900
cutie;490;07.okt;13.132;4744;--;--;--
dearest;491;07.okt;12.817;--;--;4358;--
dream;492;07.okt;19.614;409;2076;2500;215
freely;493;07.okt;13.740;--;3493;--;--
fridays;494;07.okt;14.604;4899;--;2747;--
plants;495;07.okt;12.976;4973;1392;1847;--
quality;496;07.okt;14.178;866;764;1409;--
rabbit;497;07.okt;12.164;3115;--;--;4413
resort;498;07.okt;14.463;4049;--;3854;--
shopping;499;07.okt;15.419;604;--;2551;3672
sincere;500;07.okt;10.351;--;--;3579;4635
snack;501;07.okt;15.682;4083;--;--;--
stars;502;07.okt;15.419;1190;2781;1883;455
toys;503;07.okt;16.568;2579;--;--;2583
useful;504;07.okt;11.995;1445;1028;4019;--
wise;505;07.okt;12.657;1869;2254;3257;1515
yum;506;07.okt;14.880;1603;--;--;--
desirable;507;07.aug;16.563;--;2901;--;--
sparkle;508;07.aug;16.181;--;--;--;4859
bless;509;07.aug;19.675;967;--;--;1545
comic;510;07.aug;15.628;2518;--;4204;--
cooking;511;07.aug;12.911;1447;--;4167;--
dancing;512;07.aug;16.142;1331;4652;2865;744
earned;513;07.aug;11.753;3855;--;1758;--
equality;514;07.aug;18.277;--;3316;--;--
faith;515;07.aug;14.405;1873;838;2399;654
graduate;516;07.aug;12.428;3304;4184;710;--
improvements;517;07.aug;14.119;--;4076;--;--
memories;518;07.aug;11.925;1591;4354;2481;762
park;519;07.aug;13.529;802;1909;262;1264
pet;520;07.aug;17.004;1132;--;--;4364
powerful;521;07.aug;15.365;1641;1391;1789;4452
princess;522;07.aug;15.758;2507;4690;--;3282
qualities;523;07.aug;11.578;--;2420;--;--
thrill;524;07.aug;15.628;--;--;--;1530
true;525;07.aug;11.036;415;315;1069;202
wonder;526;07.aug;13.068;344;2309;2665;409
everlasting;527;07.jun;13.906;--;--;--;2924
mamma;528;07.jun;17.006;--;--;--;2973
caress;529;07.jun;17.192;--;--;--;3091
charm;530;07.jun;14.201;3763;--;4977;2765
clever;531;07.jun;13.463;4316;--;--;3151
father;532;07.jun;17.427;1203;375;139;747
grand;533;07.jun;13.614;1685;1709;944;1575
hehehe;534;07.jun;16.587;2791;--;--;--
idea;535;07.jun;12.843;269;499;915;2144
pearl;536;07.jun;14.201;4078;--;3995;3892
pictures;537;07.jun;13.157;1065;2328;1770;1540
restaurant;538;07.jun;12.521;1041;--;1044;--
sandwich;539;07.jun;13.763;2463;--;--;--
sharing;540;07.jun;12.843;1885;4124;4554;3518
strong;541;07.jun;15.174;740;529;722;401
talent;542;07.jun;0.9775;1306;4877;3034;--
talented;543;07.jun;15.308;3256;--;4996;--
tenderness;544;07.jun;12.683;--;--;--;3698
weddings;545;07.jun;16.587;--;--;504;--
dove;546;07.apr;14.428;--;--;--;2276
